price,area,bedrooms,bathrooms,stories,mainroad,guestroom,basement,hotwaterheating,airconditioning,parking,prefarea,furnishingstatus,age,dist_city_center_km
3958000,6593,3,1,2,yes,no,no,no,yes,0,no,furnished,0.0,2.8
4071000,5196,4,2,3,yes,no,no,no,no,1,no,furnished,6.0,1.1
3819000,6925,2,1,2,yes,yes,yes,no,yes,0,yes,semi-furnished,28.0,13.1
4371000,8851,4,2,1,yes,yes,no,no,no,2,no,unfurnished,3.0,0.3
3768000,4985,4,2,1,yes,yes,no,no,yes,2,no,unfurnished,3.0,3.0
3410000,4985,2,2,2,no,no,no,yes,yes,0,no,unfurnished,42.0,1.5
4824000,8974,3,1,1,yes,no,no,no,no,1,no,semi-furnished,0.0,7.1
4216000,7188,4,1,2,yes,no,yes,no,no,0,no,furnished,18.0,2.3
3088000,4467,3,1,2,no,no,no,no,no,1,no,semi-furnished,5.0,2.4
3740000,6694,1,1,2,yes,yes,no,no,yes,1,no,unfurnished,0.0,5.4
2618000,4480,1,2,3,no,yes,no,no,no,1,yes,furnished,30.0,8.5
3423000,4475,3,3,3,no,no,yes,no,no,1,no,semi-furnished,2.0,1.0
4547000,6032,5,2,3,yes,no,no,no,yes,3,no,furnished,10.0,1.5
2365000,1291,2,2,1,yes,no,no,no,yes,1,no,semi-furnished,4.0,2.3
2581000,1705,4,4,1,yes,no,no,no,no,1,no,furnished,1.0,29.1
2764000,4263,2,2,1,yes,no,no,no,yes,1,no,furnished,1.0,4.0
3569000,3272,3,4,3,yes,yes,no,yes,no,3,yes,semi-furnished,1.0,7.3
4558000,6191,4,2,4,yes,no,no,no,yes,2,no,semi-furnished,1.0,2.2
1956000,3502,4,1,3,yes,no,no,no,no,1,no,semi-furnished,17.0,5.4
2525000,2393,2,1,1,yes,no,yes,no,yes,2,yes,unfurnished,8.0,0.6
5210000,8724,3,2,3,yes,no,yes,no,no,1,no,furnished,5.0,0.3
2549000,5003,1,1,2,no,yes,yes,yes,no,2,no,unfurnished,7.0,5.1
4054000,5649,3,1,1,yes,yes,no,no,yes,2,no,furnished,32.0,4.1
3249000,2366,4,2,2,yes,no,no,no,no,0,yes,semi-furnished,29.0,1.2
2149000,4302,2,2,1,no,no,no,no,no,2,no,semi-furnished,15.0,9.3
2999000,5744,3,2,2,yes,no,no,no,no,1,no,unfurnished,26.0,39.6
3138000,2968,3,1,1,yes,yes,no,no,no,1,yes,semi-furnished,5.0,4.0
4602000,6327,5,2,2,yes,no,no,no,yes,1,no,furnished,6.0,7.8
3230000,4179,6,2,2,yes,yes,yes,no,no,2,no,semi-furnished,11.0,26.4
3761000,4858,1,4,3,yes,yes,no,no,no,0,yes,semi-furnished,12.0,14.2
3125000,4176,4,2,2,yes,yes,yes,no,no,0,no,semi-furnished,8.0,5.0
5929000,9575,3,3,2,yes,no,yes,no,no,2,no,furnished,6.0,10.7
4259000,5470,3,3,3,yes,no,yes,no,yes,0,no,semi-furnished,51.0,1.1
3433000,3173,4,2,3,no,no,yes,no,yes,0,yes,furnished,21.0,5.7
4283000,7310,5,1,1,yes,yes,yes,no,no,0,no,unfurnished,7.0,2.6
2675000,2814,6,2,2,no,yes,no,yes,no,1,no,semi-furnished,16.0,1.4
3974000,5959,3,2,1,yes,yes,yes,no,yes,1,no,furnished,4.0,4.4
2745000,1189,3,2,1,yes,no,no,yes,yes,0,no,unfurnished,1.0,1.1
3191000,2578,4,2,2,no,yes,yes,no,no,3,yes,semi-furnished,5.0,9.6
4630000,5933,3,2,3,yes,no,yes,no,yes,2,no,semi-furnished,6.0,4.9
4360000,7125,3,1,1,yes,yes,no,no,yes,1,no,furnished,0.0,6.1
4613000,5877,3,2,3,yes,yes,no,no,yes,1,no,semi-furnished,20.0,1.3
3132000,5246,4,1,3,yes,yes,no,yes,no,1,no,semi-furnished,5.0,1.2
3792000,4838,2,3,3,yes,yes,no,no,no,2,yes,unfurnished,10.0,7.0
2225000,2247,2,1,1,yes,no,no,no,no,0,no,furnished,1.0,33.6
4038000,3916,5,1,3,yes,no,no,no,no,0,yes,furnished,2.0,0.8
3473000,4487,2,2,1,yes,no,no,no,yes,2,no,unfurnished,26.0,2.7
5138000,7826,3,2,2,yes,yes,no,yes,yes,1,yes,unfurnished,11.0,16.3
3964000,6256,2,2,1,yes,yes,yes,no,no,1,yes,furnished,36.0,0.6
650000,1621,1,1,1,no,no,no,no,yes,2,no,unfurnished,80.0,16.7
3244000,6213,1,2,2,yes,no,no,no,no,2,no,furnished,6.0,5.9
